Fecha del análisis: 29/05/2026~04/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,Todo,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,LIVE del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Video del vendedor,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Afiliado,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores,Tarjeta de producto de vendedores
Chaleco Puff Mujer Corto Mayoreo 16 Pzs Casual con Gorro Estilo Trendy,1734968059518224074,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,55,2,3.64%,0,0.00%,0.00%,36,2,5.56%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,39,0,0,0,0.00%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,55,2,3.64%,0,0.00%,0.00%,24,2,8.33%,0,0.00%,0.00%
Rompevientos Hombre Mayoreo 24 Pzs Chamarra Ligera Deportiva con Gorro Ajustable,1734967370483074762,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,1029,14,1.36%,0,0.00%,0.00%,741,12,1.62%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,104,1,1,0,0.96%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,845,9,1.07%,0,0.00%,0.00%,442,6,1.36%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,184,5,2.72%,0,0.00%,0.00%,113,4,3.54%,0,0.00%,0.00%
Chamarra Hombre de Paño Mayoreo con Forro Peluche Casual Elegante,1735523049799517898,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,157,1,0.64%,0,0.00%,0.00%,140,1,0.71%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,41,1,1,0,2.44%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,90,0,0.00%,0,0.00%,0.00%,57,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,67,1,1.49%,0,0.00%,0.00%,50,1,2.00%,0,0.00%,0.00%
"Gabardina Plus Size Mujer Mayoreo 36 Pzs con Peluche, Cinturón y Gorro Desmontable",1735918328730191562,-,Inactivo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,1,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0.00%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,1,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%
Chaleco Reversible Caballero Mayoreo 36 Pzs Doble Vista Casual con Gorro y Bolsas,1734968901269882570,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,323,4,1.24%,0,0.00%,0.00%,277,4,1.44%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,14,0,0,0,0.00%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,266,3,1.13%,0,0.00%,0.00%,191,2,1.05%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,57,1,1.75%,0,0.00%,0.00%,33,1,3.03%,0,0.00%,0.00%
Conjunto Pants Mujer Mayoreo 36 Pzs Outfit 2 Piezas Casual con Gorro,1734968544421250762,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,516,5,0.97%,0,0.00%,0.00%,365,5,1.37%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,29,1,1,0,3.45%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,466,4,0.86%,0,0.00%,0.00%,216,4,1.85%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,50,1,2.00%,0,0.00%,0.00%,42,1,2.38%,0,0.00%,0.00%
Conjunto Pants Niña Mayoreo 36 Pzs Outfit 2 Piezas Casual con Gorro,1734968521563932362,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,951,14,1.47%,0,0.00%,0.00%,842,10,1.19%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,54,5,4,0,9.26%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,878,8,0.91%,0,0.00%,0.00%,640,4,0.63%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,73,6,8.22%,0,0.00%,0.00%,50,4,8.00%,0,0.00%,0.00%
Chamarra Rompevientos Mujer Mayoreo Ultra Ligera con Gorro y Bolsillos con Cierre,1735509115224753866,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,328,15,4.57%,0,0.00%,0.00%,259,13,5.02%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,146,2,2,0,1.37%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,129,10,7.75%,0,0.00%,0.00%,75,5,6.67%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,1,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,198,5,2.53%,0,0.00%,0.00%,131,4,3.05%,0,0.00%,0.00%
Chaqueta Gamuza Hombre Mayoreo 20 Pzs Forro Peluche Estilo Casual Elegante,1734960702840211146,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,223,3,1.35%,0,0.00%,0.00%,194,3,1.55%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,28,0,0,0,0.00%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,168,2,1.19%,0,0.00%,0.00%,111,2,1.80%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,55,1,1.82%,0,0.00%,0.00%,38,1,2.63%,0,0.00%,0.00%
Chaleco Acolchado Hombre Mayoreo 25 piezas Sport con Gorro Desmontable y Bolsillos,1735522993341433546,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,49,1,2.04%,0,0.00%,0.00%,44,1,2.27%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,30,0,0,0,0.00%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,49,1,2.04%,0,0.00%,0.00%,40,1,2.50%,0,0.00%,0.00%
Camisola Hombre Mayoreo Tipo Sobrecamisa de Algodón con Bolsas y Botones,1735509287829604042,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,510,34,6.67%,1,2.94%,0.00%,422,28,6.64%,1,3.57%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,166,12,10,0,7.23%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,286,19,6.64%,0,0.00%,0.00%,206,14,6.80%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,224,15,6.70%,1,6.67%,0.00%,143,12,8.39%,1,8.33%,0.00%
Chaleco Reversible Mujer Mayoreo 60 Pzs 2 en 1 Casual con Gorro y Bolsillos,1734968579420423882,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,326,12,3.68%,0,0.00%,0.00%,258,7,2.71%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,48,7,4,0,14.58%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,219,1,0.46%,0,0.00%,0.00%,146,1,0.68%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,107,11,10.28%,0,0.00%,0.00%,48,4,8.33%,0,0.00%,0.00%
MAYOREO POR PAQUETE DE  12 PIEZAS Playera Oversize  para Hombre Street wear con Estampados Moda Urbana Casual,1735523101213165258,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,527,13,2.47%,0,0.00%,0.00%,434,9,2.07%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,41,0,0,0,0.00%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,1,452,10,2.21%,0,0.00%,0.00%,341,6,1.76%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,75,3,4.00%,0,0.00%,0.00%,50,3,6.00%,0,0.00%,0.00%
Chaleco Reversible Hombre Mayoreo Doble Vista Nylon con Cierres Cromados,1735509236324992714,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,398,25,6.28%,0,0.00%,0.00%,342,21,6.14%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,12,0,0,0,0.00%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,374,24,6.42%,0,0.00%,0.00%,200,10,5.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,24,1,4.17%,0,0.00%,0.00%,19,1,5.26%,0,0.00%,0.00%
Chamarra Vinipiel Hombre Mayoreo 20 Pzs con Peluche y Cierres Cromados,1735918813524756170,-,Inactivo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,1,0,0.00%,0,0.00%,0.00%,1,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0.00%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,1,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%
Chamarra Mujer Vinipiel Mayoreo Tipo Piel Sintética Casual Modelos Variados,1735522944924485322,GMV y artículos vendidos = 0,Activo,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,1585,48,3.03%,0,0.00%,0.00%,1320,41,3.11%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,488,9,9,0,1.84%,0.00%,MX$0.00,0,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,1,869,33,3.80%,0,0.00%,0.00%,673,23,3.42%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,MX$0.00,0,0,0,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,0,0,0.00%,0,0.00%,0.00%,MX$0.00,MX$0.00,MX$0.00,0,0,0,0,0,0,0,0,MX$0.00,716,15,2.09%,0,0.00%,0.00%,371,9,2.43%,0,0.00%,0.00%
